AquiferSystem,Annual_precipitation_divided_by_potential_evapotranspiration,Percent_of_area_covered_by_cropland
Serranias de Cuenca Aquifer,0.319042495,24.84776157
Baza Basin,0.229253736,27.71146439
Campos de Nijar Aquifer,0.141167024,15.65700527
Almanzora Basin,0.159674396,27.0480145
Ganuelas-Mazarron Basin,0.166762273,21.73570344
Aguilas Basin,0.160999142,21.32003183
Rio Verde Basin,0.265953333,2.721617418
Motril-Salobrena Aquifer,0.25961134,7.090764561
Velez Aquifer,0.299547436,9.133200435
Bajo Guadalhorce Valley Alluvial Aquifer,0.346851064,11.4802718
Marbella-Estepona Coastal Aquifer,0.39237043,2.919376014
Almonte-Marismas Aquifer,0.314103162,42.27065893
Seville-Carmona and Aljarafe and Guadalquivir Alluvial Aquifers,0.315679997,45.85139869
Central Guadalquivir Basin,0.280214682,16.03351804
Upper Guadalquivir Basin,0.227876549,8.235817098
Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers,0.313859502,36.86513102
Don Bonito Region in the Middle Guadiana Basin,0.324944105,44.57614445
Ranas Orbigo-Esla and Esla-Cea Aquifers,0.452252091,57.45142254
Northern Littoral Plain,0.433700296,38.76154519
Central Littoral Plain,0.358850533,39.11983109
Northeastern Piedmont Plain,0.416504315,53.84000287
Northern Piedmont Plain,0.382533932,36.0844068
Northcentral Piedmont Plain,0.3296287,61.16540194
Southern Piedmont Plain,0.393407811,69.4816705
Southcentral Piedmont Plain,0.380820264,65.19129554
Yellow River Alluvial Plain,0.392741695,70.80606339
Central Alluvial-Laucustrine Plain,0.326757336,67.80638867
Yinchuan Plain,0.124886961,36.00413516
Northern Nuomin-Taoer System,0.371190097,66.94825722
Wuyuer-Shuangyang System,0.367469711,49.48782719
Western Second Songhuajiang System,0.458630158,71.8845938
Eastern Second Songhuajiang System,0.493308721,73.13462233
Southern Nuomin-Taoer System,0.309988236,56.29506163
Western Liaohe River Basin,0.292529611,46.50686251
Lower Liaohe River Plain,0.426451903,58.54013561
Northern Laoha River Basin,0.268235088,55.98718798
Laizhou Coastal Plain,0.439608875,46.52349662
Jiangsu Coastal Plain,0.703634282,53.54245826
Eastern Huaihe Plain,0.522288721,55.8107736
Southern Huaihe River Basin,0.79751623,56.16052063
Western Huaihe Plain,0.520498912,65.1537205
Central Huaihe Plain,0.547358988,73.12126055
Hetao Basin,0.097664565,52.7242329
Hohhot Basin,0.220919065,52.71485619
Baotao Plain,0.188407197,41.00494569
Baoju Uplift,0.540024994,52.68098938
Gushi Depression,0.425110414,53.43244112
Xian Depression,0.49021656,46.31726501
Yuncheng Basin,0.386994803,51.06231188
Linfen Basin,0.364146102,44.00942093
Taiyuan Basin,0.302238093,41.31105113
Datong Basin,0.270170656,49.9971714
Jining Area,0.242301527,33.87657656
Minqin Basin,0.070713323,24.14621974
Wuwei Basin,0.121724463,41.8905062
Zhangye Basin,0.110549244,27.80862352
Shandan Basin and Middle Heihe Reaches,0.226587959,35.48019337
Nanyang Basin,0.739665275,68.96877061
Jianghan Plain,0.924161975,56.41250577
Chengdu Plain,1.071528555,40.03530332
Yangtze Delta at Shanghai,0.818045623,21.86278127
Shihezi Area,0.096765468,26.24554185
Kongque Piedmont Plain,0.032566134,43.15855751
Jahrom Basin,0.107676817,13.65191067
Eastern Saq Aquifer,0.04977816,7.357100026
Wadi As-Sirhan Basin,0.021353247,4.255248233
Southcentral Mega Aquifer System,0.024796075,0.779011296
Northcentral Mega Aquifer System,0.042234939,0.67094615
Northern Mega Aquifer System,0.030073022,0.491727018
Sib-Souran Basin,0.0316537,1.989545044
Darab Basin,0.101990492,38.04491295
Jiroft Plain,0.069459741,22.56539376
Bam and Rahmatabad Basins,0.049425756,4.729255091
Sirjan Basin,0.078410538,8.673251857
Rodan Basin,0.106568452,26.13982698
Rafsanjan Basin,0.052617333,12.22565511
Upper Mashad Plain,0.191914279,50.48232621
Central Mashad Plain,0.145832507,44.60671772
Narimani Basin,0.132148777,35.24032879
Western Torbat-Zaveh Plain,0.141399693,28.40133448
Eastern Torbat-Zaveh Plain,0.1498779,35.73689487
Rashtkhar Aquifer,0.118017906,31.10390516
Southern Neyshabur Plain,0.137555746,36.11736798
Western Neyshabur Plain,0.163445727,49.49800819
Eastern Neyshabur Plain,0.15714543,34.60372918
Bojnourd Plain,0.193343891,31.78248157
Quchan Plain,0.240946891,80.16502174
Shirvan Plain,0.211517885,68.98743219
Jovin Plain,0.142581093,28.55476132
Northern Qazvin Plain,0.187993824,58.442599
Western Qazvin Plain,0.177931964,57.95362147
Southern Qazvin Plain,0.165479488,48.28566786
Aliabad Plain,0.114012376,25.46954875
Kashmar-Bardaskan Plain,0.088127946,20.45297582
Sabzevar Plain,0.102482341,12.55227926
Ataiyah Basin,0.117859881,13.80926816
Azghand Basin,0.109941349,8.611839666
Feyzabad Plain,0.095926622,14.84492722
Sefid-Dasht Aquifer,0.130351493,32.01719448
Kashan Plain,0.069655316,9.25128452
Bad-Khaledabad Basin,0.058007957,15.44944953
Ardestand Basin,0.052679064,5.057595897
Dagh-e-Sorkh Basin,0.045718288,0.122176931
Bazman Basin,0.045413649,2.449812449
Iranshahr Plain,0.045042733,4.076915411
Dalgan Basin,0.0525343,2.412652419
Southeastern Jazmurian Depression,0.054907667,1.283651548
Southwestern Jazmurian Depression,0.06317607,2.999847189
Rodbar Jiroft Plain,0.06729863,11.53143296
Esfarayen Plain,0.158018214,24.64516027
Jajarm Plain,0.152087778,7.524031465
Shoqan Plain,0.174179424,13.25574982
Semelghan Plain,0.183667308,61.39766513
Bajestan Basin,0.08017867,3.815044363
Kavir Namak Plain,0.068866012,0.812175657
Ferdows Plains,0.075485546,3.420677927
Sarayan Plain,0.077605789,9.28882714
Qaen Aquifer,0.094856079,6.042542053
Galehdar Plain,0.095685548,39.39345025
Lamerd Plain,0.094602306,11.18278884
Kadkan Basin,0.164257086,30.02737163
Gonabad Plain,0.089316521,3.378797422
Bimorgh Basin,0.087047067,4.163442054
Khezri Plain,0.099791024,9.76773276
Minab Plain,0.084873741,11.86342
Behbahan Plain,0.11966922,58.64980057
Miandarband Plain,0.247472047,77.08655503
Birjand Aquifer,0.07494835,3.614879605
Jangal Plain,0.095476038,16.39019046
Ghorghi Ziyarat Plain,0.034444571,0.034919249
Khash Aquifer,0.029889205,5.26267828
Malekan Aquifer,0.21337917,46.86907741
Southern Miandoab Plain,0.230231069,48.44284612
Maragheh-Bonab Plain,0.18972142,46.61903021
Mahabad Plain,0.24764058,57.78024477
Kahria Aquifer,0.223853731,40.29943137
Urmia Aquifer,0.216585934,47.13968991
Tabriz Plain,0.155159771,24.35818218
Soufian-Shabestar Aquifer,0.183454746,29.35468668
Marand Plain,0.162294159,43.75611481
Astanea-Kochesfahan Plain,1.156264255,53.38500742
Amol-Ghaemshahr Plain,0.638524461,49.96568358
Shiraz Plain,0.081363873,25.99707772
Behshar Basin,0.344226151,52.24405408
Sari-Neka Plain,0.464024707,42.5635719
Gharesoo-Gorgan Rood Coastal Aquifer,0.248670493,74.54348715
Damghan Sedimentary Plain,0.117582529,9.069425824
Shahroud Plain,0.106417973,12.21765394
Bastam Plain,0.108313531,19.61067665
Kavir Haj Aligholi Aquifer,0.093926891,0.222319697
Miami Basin,0.127575,7.446974114
Biyarjomand Basin,0.105927671,5.616179316
Chahak Musaviyeh Basin,0.080886407,2.648460563
Sedeh Basin,0.093514706,8.525456177
Mokhtaran Basin,0.066553537,9.239741602
Sarbisheh Basin,0.081309908,2.326951207
Southern Sarbisheh Basin,0.070695282,3.654955978
Sahlabad Basin,0.052750159,1.464958093
Nehbandan Aquifer,0.045636301,3.214869828
Ramhormoz Alluvial Plain,0.119135876,43.00595321
Myghan Basin,0.045663473,1.861029096
Bandan Basin,0.034705306,1.18466899
Hashtgerd Plain,0.1709256,50.09657392
Northern Hosein Abad Basin,0.077960865,3.038424301
Southern Hosein Abad Basin,0.063244905,1.191390651
Uraba Aquifer,1.767783038,0.946541964
Dastgerdan Basin,0.060140539,2.344488756
Tabas Basin,0.050386884,1.58985626
Halvan Basin,0.0475481,0.11391081
Nahavand Plain,0.191564808,62.66120246
Gulgir Plain,0.144859574,56.50555714
Bahabad Plain,0.042075037,4.30885776
Bahadoran Basin,0.050255081,1.867705623
Yazd-Ardakan Basin,0.04285636,1.969972728
Kavir Daranjir Basin,0.040735319,0.558153874
Nayband Basin,0.0453477,0.016683796
Nosrat Abad Basin,0.038049359,0.481196841
Hesaruiyeh Basin,0.03969633,4.814391479
Dumak Basin,0.036910601,3.717846511
Korin Basin,0.036979183,1.279281212
Ghoharkoh Basin,0.036826165,4.375081274
Saravan Basin,0.028946458,0.562555521
Zaboli Aquifer,0.038512183,1.226274023
Pir-e-Sohrab Basin,0.071488301,1.497944508
Sadich Basin,0.06085265,0.925831074
Koriyan Basin,0.088385995,9.884533788
Sirik Basin,0.078343137,1.582358743
Jaghin-Tokahor Plain,0.105968712,15.52989449
Manujan Basin,0.100285938,14.70847998
Nodej Basin,0.109632275,18.09816411
Isin Basin,0.088792416,12.28506335
Dezghan Basin,0.07469377,0.914072544
Bandar Lengeh Basin,0.06785543,1.223036198
Kahorestan Basin,0.07735,5.849554878
Northern Sarkhoon Aquifer,0.101610494,7.870678162
Southern Sarkhoon Aquifer,0.088388756,0.895211705
Shamil Aquifer,0.092640965,8.348690916
Kunming Urban Area,0.756377396,9.467435561
Bardsir Plain,0.064025377,8.166218894
Rayen Aquifer,0.0635375,5.137088249
Kerman-Baghin Aquifer,0.0540967,9.900999266
Zarand Basin,0.051074589,9.079092041
Ravar Basin,0.045679656,5.644912965
Siriz Basin,0.048948852,2.935057852
Shahdad Basin,0.047860419,1.590892003
Shahr-Babak Plain,0.071735831,3.556293663
Bosrouyeh Basin,0.062313411,5.997985857
Faryab Basin,0.088217589,26.7434816
Kordi Shirazi Basin,0.098938372,23.46565495
Soghan Basin,0.110117297,39.44696198
Esfandagheh Basin,0.084797059,15.07780151
Northern Shamil-Meymand Basin,0.100461987,17.58926894
Southern Shamil-Meymand Basin,0.131101695,25.18275981
Ahmadi Basin,0.135380247,20.11945573
Eastern Rezvan Basin,0.109835211,26.66047472
Western Rezvan Basin,0.101067568,19.69862475
Dashtab Basin,0.086278981,17.68456346
Northern Darz Sayebn Basin,0.097558824,4.930218664
Southern Darz Sayebn Basin,0.101862766,12.05673432
Fedami Basin,0.093335652,10.69832331
Tashkoyeh Basin,0.093747423,20.74967593
Sahre e- Bagh -e Lar Basin,0.102475374,9.871268084
Gerash Basin,0.106881959,10.81981982
Dehkyueh Basin,0.103051802,16.62886467
Eastern Ghavbandi Basin,0.079952976,10.17070587
Mobarakiyeh Basin,0.091129186,13.94363531
Eyvanekey Basin,0.091201975,17.95607556
Varamin Aquifer,0.095142479,53.22868281
Tehran-Karaj Plain,0.125586818,22.06061021
Eshtehard Basin,0.151612011,10.43828456
Zaran -e Saveh Basin,0.124594691,15.72449381
Qom Kahak Basin,0.090843452,20.84762657
Sharif Abab and Masileh Aquifers,0.095142222,18.71173848
Garmsar Basin,0.10446263,25.14047683
Homand Basin,0.116969822,30.83720542
Semnan and Sorkhe Aquifers,0.107065347,8.330762505
Rudsar Coastal Area,1.087459007,45.02444427
Khor-Fakhri Basin,0.040604452,1.082125713
Bayazeh Basin,0.035625581,0.212057677
Kavir Allahabad Basin,0.035768381,0.000380828
Naein Basin,0.046932011,0.286014725
Aqda Basin,0.040643476,0.54676422
Anarak Basin,0.041479969,0.000225047
Kavir -e Siyahkoh Basin,0.03735531,0.005885576
Dagh -e Talleh Hamid Basin,0.036472,7.23798E-05
Eastern Khash Basin,0.02837069,4.115021404
Ladiz Basin,0.02825,2.200584859
Ahar-Varzeghan Basin,0.236142412,33.74960768
Bostanabad Basin,0.211037321,36.04432997
Kordkandi-Duzduzan Plain,0.180325403,66.60031834
Sarab Plain,0.185751081,52.97701138
Naqadeh Plain,0.25083168,62.67904863
Bukan Basin,0.286381245,53.26859094
Shahindej Basin,0.232376679,55.04588432
Rashakan Basin,0.2306925,50.50441852
Zanjan Plain,0.182231468,49.70017627
Abhar Plain,0.180237508,55.49631489
Eastern Sojas Basin,0.182887887,72.95343033
Upper Qeydar Basin,0.18134004,73.511757
Lower Qeydar Basin,0.174961325,55.13313098
Eastern Goltapeh Zarin Abad Basin,0.183070425,68.19528135
Hamedan-Bahar Plain,0.183996038,59.69270142
Northern Razan Plain,0.169634243,74.50631998
Central Razan Plain,0.167400883,67.91184298
Southern Razan Plain,0.16362393,59.21917638
Blok -e Sharra Basin,0.15295083,47.01379442
Komijan Aquifer,0.154757582,57.66747351
Lower Kabootar Ahang Basin,0.182960094,65.33353922
Upper Kabootar Ahang Basin,0.180588948,64.13085294
Lower Nowbaran Basin,0.12733932,18.91269183
Upper Nowbaran Basin,0.148901311,48.52934689
Ghorveh-Dehgelan Aquifer,0.226109049,67.69296705
Southeastern Divandareh-Bijar Basin,0.213294113,43.93934923
Malayer Aquifer,0.161282788,51.90688313
Arak Plain,0.135547074,58.93005679
Asadabad Plain,0.199776389,73.46934899
Kangavar Aquifer,0.197919596,74.47335656
Tuyserkan Plain,0.183969231,58.04696667
Aleshtar Plain,0.20097619,69.24612452
Norabad Basin,0.210117902,72.28872667
Azna-Aligudarz Basin,0.138943705,67.00062297
Shazand Plain,0.153343886,60.06062311
Robat-Khorramabad Plain,0.188777049,47.12974146
Harasm Basin,0.214148921,68.8542886
Halilan Basin,0.179235048,57.24367753
Abbas -e Sharghi Basin,0.122638086,57.76460706
Gotvand Basin,0.149427785,52.37416161
MiyanAb Shushtar Basin,0.131012408,49.02463893
Central Dezful-Andimeshk Plain,0.140304504,71.8678726
Shush Plain,0.110669105,32.77400248
Northern Dezful-Andimeshk Plain,0.152041842,38.30235994
Southern Dezful-Andimeshk Plain,0.111287032,54.82921991
Evan Plain,0.131073355,63.83932636
Golpayegan Aquifer,0.097570972,35.40111627
Khomein Basin,0.112546588,49.20178549
Muteh Basin,0.089263976,1.374521406
Malahat Basin,0.091971649,7.325396196
Meymeh Plain,0.085587334,7.338660788
Lenjanat Basin,0.10047654,12.36382933
Korron Basin,0.093233906,22.00396843
Koohpayeh Basin,0.055388653,12.83205097
Esfandaran Basin,0.058662577,0.46397753
Esfahan Basin,0.065168931,16.04123319
Murchehkhort Basin,0.072456135,4.106050076
Mohammad Abad Area,0.062279862,5.284054148
Western Zayandeh-Rud Basin,0.10003839,2.438481345
Shahreza Plain,0.083746964,5.260829601
Abarkooh Plain,0.057998275,6.146517099
Western Dehshir Basin,0.051468081,1.400560338
Eastern Dehshir and Arnan Basins,0.059209621,2.122589783
Kavir -e Abarkooh Basin,0.061942741,1.976128647
Kafehtaghestan Basin,0.05036341,0.46589525
Marvast Basin,0.069799874,7.01834895
Harat Basin,0.07732405,5.103678461
Chahak -e Shahriari Basin,0.088198584,5.774886743
Hassanabad-Dehchah Plain,0.099245192,5.488861133
Bavanat Basin,0.079567454,22.72311635
Sarchahan Aquifer,0.097732904,9.202430408
Eastern Qaderabad Basin,0.084589556,9.932992502
Southwestern Qaderabad Basin,0.07981122,40.26099666
Saadat Abad Basin,0.082018143,53.31267863
Chadegan Plain,0.130478899,44.60049905
Chehelkhaneh Aquifer,0.130951724,47.06585426
Boein-Miandasht Aquifer,0.137738352,46.56472711
Damanehdaran Aquifer,0.129436111,48.3959244
Shahrekord Plain,0.148965826,50.8358049
Boroujen Aquifer,0.129142092,37.85346277
Borujerd -Doroud Plain,0.171530884,66.38524348
Sahneh-Bistoon Plain,0.217812855,58.3582957
Mianrahan Aquifer,0.227435586,70.76185219
Kamyaran Plain,0.25995919,68.16373325
Kermanshah Plain,0.226991778,50.16713228
Mahidasht Plain,0.239948807,78.05614895
Ravansar Plain,0.270530883,75.56964225
Khanmirza Plain,0.129367368,53.49437247
Kuhdasht Plain,0.187957312,79.86929606
Jayezan Basin,0.11415296,44.84245637
Tokio-Woodbine Aquifer,0.900894598,7.50286044
Baghmalek Plain,0.133808036,49.9541779
Upper Morghab Basin,0.137058268,64.41883834
Izeh Plain,0.140433333,62.85284231
Kalacho Plain,0.111153425,67.84208106
Imamzadeh Jafar Gachsaran Plain,0.103776608,35.09689987
Mehrgerd Semirom,0.119257561,40.56480018
Qabr-e Kikha Basin,0.100871313,35.73021566
Mal-Khalife Basin,0.120952381,60.94650139
Borazjan Aquifer,0.097574584,18.01773244
Bandar Ganaveh Basin,0.099518693,15.44969675
Nurabad Mamasani Plain Aquifer,0.093566418,50.29277108
Fahliyan Basin,0.092973446,56.79626377
Dasht-e Rostam Basin,0.095751786,71.47664261
Basht Basin,0.098235526,54.56907712
Yasuj Basin,0.109833708,36.77990393
Khormoj Basin,0.083130267,6.562976875
Mond Basin,0.077542931,14.67029678
Abdan-Dayer Coastal Plain,0.075563851,16.40619733
Jam Basin,0.1043825,20.71114655
Riz Basin,0.091055446,16.87493013
Darolmizan Basin,0.088968304,10.94256156
Hengam Basin,0.093235354,15.98718871
Dehrom Basin,0.088148178,11.51491429
Allah Marvdasht Basin,0.096486448,8.512784707
Dasht e- Nemdan Basin,0.089707795,27.03896428
Sadegh Abad Basin,0.085005181,6.062332756
Abadeh Eghlid Basin,0.072109786,6.33926057
Aspas Plain,0.088628429,34.45569149
Kamfruz Alluvial Aquifer,0.085910106,66.46472214
Beyza-Zarghan Plain,0.080487617,54.86214623
Bekan Basin,0.091407944,56.53122975
Marvdasht and Kharameh Plains,0.0848375,42.45159133
Dariyan Basin,0.084779894,53.54317485
Arsanjan Basin,0.085068459,32.95870654
Tavabeh Arsanjan Basin,0.086048347,25.45345595
Seyedan-Farooq Aquifer,0.083368978,59.60913732
Kazeroun Plain,0.094121359,43.10527035
Beram Basin,0.093897318,14.56819784
Daryache Parishan Basin,0.087939063,46.93255034
Dehrood -e Tangh -e Eram Basin,0.092069231,50.14527301
Khesht Plain,0.095948256,39.04343443
Firuzabad Plain,0.100175561,49.76218479
Farashband Plain,0.086273077,45.76780938
Darenjan Basin,0.095130653,40.92411226
Sikh Darengon Basin,0.091490374,43.57949329
Sarvestan Plain,0.096887246,11.99899186
Goshnekan Basin,0.086544737,22.87685692
Khafr Basin,0.103911064,11.92647735
Kavar and Kavar-Maharloo Aquifers,0.092916913,35.26240458
Gharebagh Basin,0.081624919,42.68279841
Bushkan Plain,0.089120395,39.99023974
Mobarak Abad-Baros Basin,0.101946414,21.89714971
Dasht e- Afzar Basin,0.09624466,39.64882874
Ghir Karzin Basin,0.097116578,37.30692546
Sief Abad e- Laghar Basin,0.09618674,16.54216867
Meymand Aquifer,0.105081778,22.20966533
Neyriz Plain,0.100894879,10.44233934
Khir Plain,0.107735115,29.35998276
Estahban Basin,0.112705833,20.99127316
Roniz Basin,0.111284314,35.9835918
Eij Basin,0.112092982,45.36145648
Darkoye and Ghareblagh Basins,0.114377289,56.03877797
Abadeh Tashk Basin,0.089410502,12.60977031
Fasa Basin,0.111570677,22.74991397
Gareh-Bygone Plain,0.10702402,34.99567109
Khosuye-Hajiabad Plain,0.098317665,21.42450983
Izad Khast Basin,0.101246667,20.70252835
Javim Banaruyeh Basin,0.099964892,29.54746033
Kavir Qatruiyeh Basin,0.098767227,4.098391001
Qatruiyeh Basin,0.090835202,0.363941613
Mehraban Plain,0.176785673,59.43643945
Orzooiyeh Basin,0.098431113,23.28537678
Marveshkan Basin,0.089117786,22.47654838
Lash Basin,0.067219182,3.274918554
Northern Saurashtra Deccan Trap Basalts,0.230313325,62.03470069
Southern Saurashtra Deccan Trap Basalts,0.270486787,67.04701841
Porbander Coastal Region,0.29928814,56.53950389
Coastal Saurashtra Miliolite Limestone Aquifer,0.340232713,57.99326319
Southern Malabar Khondalites,1.298658172,3.408925844
Southern Malabar Fractured Charnockite Aquifers,1.707034236,4.552121699
Kozhikkode Coastal Aquifer,1.734648148,1.518113651
Kerala Tertiary Coastal Aquifer,1.680696451,10.96886196
Central Kerala Coastal Aquifers,1.639829279,7.356314278
Central Malabar Khondalite and Charnockite Aquifers,1.594430118,7.84208547
Northern Malabar Khondalite and Charnockite Aquifers,1.906538882,2.000307108
Southern Coromandel Coastal Alluvial Aquifer,0.321719208,36.62217435
Southern Coromandel Fractured Charnockite and Gneiss Aquifers,0.371320056,59.82660938
Southcentral Coromandel Fractured Gneiss Aquifers,0.386662141,53.0011152
Tiruvadanai Aquifer System,0.389133003,53.46401349
Southern Cauvery Delta and Orathanadu Aquifer System,0.503976661,53.2239332
Northern Cauvery Delta and Cuddalore Sandstone Aquifer System,0.525416344,48.28316062
Central Coromandel Fractured Charnockite and Gneiss Aquifers,0.494104565,44.6977914
Chennai Coastal Aquifer,0.546329987,38.22951456
Northcentral Coromandel Schist Aquifers,0.408403157,47.74188023
Northcentral Coromandel Coastal Alluvial Aquifer,0.465697199,48.86190725
Namakkal Fractured Charnockite and Gneiss Aquifers,0.343600574,47.30029905
Northwest Coimbatore Fractured Charnockite and Gneiss Aquifers,0.321535571,45.02606704
Southern Coimbatore Fractured Charnockite and Gneiss Aquifers,0.279772841,48.76745869
Palakkad Gap Fractured Charnockite and Gneiss Aquifers,0.849920384,22.3036316
Dindigul Fractured Charnockite and Gneiss Aquifers,0.352272921,53.77490253
Theni Fractured Charnockite and Gneiss Aquifers,0.453116388,34.72963275
Southern Deccan Basalt Plateau,0.382539656,65.10119117
Southcentral Deccan Basalt Plateau,0.302733326,63.77564788
Eastern Deccan Basalt Plateau,0.395919617,75.08919083
Northcentral Deccan Basalt Plateau,0.332566513,71.33738811
Northwestern Deccan Basalt Plateau,0.28497703,64.61340308
Northeastern Deccan Basalt Plateau,0.42904852,68.82752643
Southern Malwa Plateau,0.425554242,68.32786939
Eastern Malwa Plateau,0.48652146,69.55438663
Northwestern Malwa Plateau,0.392466338,69.48070659
Western Amarkantak Plateau,0.552296054,47.54385973
Eastern Amarkantak Plateau,0.696923387,31.28044255
Central Amarkantak Plateau,0.652969389,38.7193946
Western Satpura Basalt Aquifers,0.369637771,54.60582324
Eastern Satpura Basalt Aquifers,0.524852413,32.55796154
Western Tapi Valley Alluvial Aquifer,0.313014634,65.539172
Eastern Tapi Valley Alluvial Aquifer,0.321109894,80.67197994
Chittagong Coast Aquifer,1.98934743,32.51431337
Southern Nallamalai Basin,0.331584269,28.27532437
Central Nallamalai Basin,0.343136854,27.88197279
Northern Nallamalai Basin,0.319593322,35.39193751
Papaghni Basin,0.251182389,48.11370806
Kurnool Basin,0.311537968,52.78258583
Srisailam Basin,0.324344295,14.35827806
Northwestern Karnataka Schist Aquifers,0.717726022,32.23146801
Western Karnataka Schist Aquifers,0.487548666,52.06440227
Western Karnataka Laterites,1.494980838,18.95671368
Bhuj Sandstone Aquifer System,0.182973016,38.0872343
Central Kachchh Coastal Plain,0.176511789,38.71314281
Western Kachchh Coastal Plain,0.145697638,21.70379692
Eastern Kachchh Coastal Plain,0.164734601,11.01055313
Northern Dharwar Craton Banded Gneiss Complex,0.400906329,57.96896258
Central Dharwar Craton Banded Gneiss Complex,0.294195415,56.80029307
Southern Dharwar Craton Banded Gneiss Complex,0.318944008,36.76039051
Upper Cauvery Banded Gneiss Aquifers,0.537287029,30.16368033
Trans Gangetic Plain,0.302628834,80.19347449
Upper Gangetic Plain,0.499497729,73.97157825
Middle Gangetic Plain,0.666998218,75.12017753
Western Brahmaputra Basin Aquifer,1.525959189,39.63359374
Northern Piedmont and Tista Fan,1.564593681,58.29671389
Barind Tract and Central Floodplains,0.973119973,64.35756887
Sylhet Basin,1.738451972,66.81647685
Madhupur Tract and Eastern Floodplains,1.292637972,49.19460382
Southcentral Floodplains,1.077302352,49.83831575
Sundarbans and Southern Delta,1.256054482,33.83377474
Southwestern Bengal Basin,0.769352355,65.90392658
Western Bengal Basin,0.782821103,70.43180984
Southeastern Bengal Basin,1.543390569,42.61563142
Rechna Doab,0.282080254,73.73744807
Chaj Doab,0.275484152,61.96230663
Thal Doab,0.12056871,49.93169128
Bari Doab,0.188173552,75.93355277
Eastside Lower Indus Valley,0.058240203,38.04706775
Westside Middle Indus Plain,0.114191083,41.96786927
Eastside Middle Indus Plain,0.084563719,49.85874123
Northwest Jaipur Alluvium and Mendha Basin,0.237107704,62.84693904
Eastern Malwa Plateau Alluvial Aquifer,0.272368562,64.40515914
Malwa Plateau Gneiss Complex,0.242802838,51.53545955
Western Cambay Basin,0.234543753,58.11842949
Central Cambay Basin,0.26143545,62.22185621
Eastern Cambay Basin,0.317566846,57.97455617
Southern Hirri Basin,0.627682551,67.7135298
Northern Hirri Basin,0.589992757,74.43548566
Baradwar Basin,0.639654634,66.77672053
Mahanadi Delta,0.85130713,59.67412533
Brahmani Delta and Northern Utkal Coastal Plain,0.875113523,67.34605257
Eastern Vindhyan Basin,0.542153008,54.80462378
North Rewa Basin,0.582748014,27.04707339
South Rewa Basin,0.63362254,28.57244681
Hasdo-Arand Basin,0.682147727,38.34793423
Mahanadi Basin,0.713067726,29.20414615
Hirakud Command Area Endogenous Rock Aquifers,0.714404265,57.68697485
Mulgildie Outlier,0.368072308,1.574368725
Clarence-Moreton Basin and Cecil Plains,0.367131944,25.43339611
Laidley Sub-basin,0.50883948,2.118765098
Coonamble Embayment,0.268024246,31.5505097
Southeastern Surat Basin,0.293789232,34.9277731
Western Surat Basin,0.209543388,7.620084584
Roma Shelf and Northern Surat Basin,0.306630621,2.247914428
Mimosa Syncline and Eastern Surat Basin,0.282674231,9.684949863
Arckaringa Basin and Southwestern Great Artesian Basin,0.060216275,0.002346419
Lake Frome Embayment,0.064563289,0.199378989
Poolowanna Trough and Western Eromanga Basin,0.050619044,0.05777172
Central Eromanga Depocenter,0.083627113,0.220017945
Eastern Eromanga Basin,0.153051242,0.188197512
Northern Eromanga Basin,0.146040317,0.054100677
Southern Carpentaria Basin,0.266485525,0.017253034
Staten River Embayment and Central Carpentaria Basin,0.437556824,0.061271333
Weipa Depression and Northern Carpentaria Basin,0.716671814,0.061207359
Western Riverine Plains,0.157600503,12.62607869
Southern Riverine Plains,0.255010926,49.71593086
Eastern Riverine Plains,0.225800736,45.54521695
Northern Riverine Plains,0.179863526,23.55794876
Ivanhoe Plains,0.123923924,2.643668495
Northern Mallee,0.111066385,0.068392504
Central Mallee,0.144372376,22.21168472
Southern Mallee,0.176969803,25.84598981
Wimmera Plain,0.229368327,74.6529553
Lower Limestone Coast Aquifer System,0.296412207,29.29239451
Angas-Bremer Plains and Murray Estuary Aquifer System,0.215375518,34.37485033
Leadville Limestone Aquifer,0.373913691,0.536943393
Piceance Basin Aquifer System,0.256055233,0.389789837
Northern Swan Coastal Plain,0.221492096,20.2469493
Gnangara Mound,0.338428802,2.612966313
Northcentral Swan Coastal Plain,0.284956659,10.24561241
Arrowsmith and Dandaragan Plateau,0.215127488,47.16444417
Central Perth Basin,0.407399925,8.784521572
Myalup and Yalgorup Plain,0.450484948,12.1624653
Southern Swan Coastal Plain,0.449139729,14.66542989
Scott Coastal Plain,0.618445711,3.234074644
Western Blackwood Plateau,0.569059078,3.770384832
Gambier Embayment,0.486556965,19.48292097
Central Otway Basin,0.550358934,21.38778893
Eastern Otway Basin,0.547774993,25.70113709
Western Port Basin,0.642501446,21.08449494
Lochiel Lobe,0.193110685,81.53606003
Northern St Vincent Basin,0.207896993,88.4066704
Western St Vincent Basin,0.189941394,78.48756234
Willunga and Noarlunga Embayments,0.336748876,10.34823334
Central Adelaide Plains,0.288306,0.70696678
Northern Adelaide Plains,0.26351045,50.22399802
Bundaberg Aquifer,0.556351614,7.257518462
Broome-Wallal Aquifer System in West Canning Basin,0.121893969,0.033688393
Canning Basin,0.169414033,0.017185804
Eastern Pilbara Granite-Greenstone Terrane,0.106423723,0.000366912
Western Pilbara Granite-Greenstone Terrane,0.104253789,0.006837146
Central Pilbara Granite-Greenstone Terrane,0.106347601,0.004348261
